('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.001    5.001    5.001    5.001 {built-in method time.sleep}
      331    0.895    0.003    0.895    0.003 {method 'read' of '_ssl._SSLSocket' objects}
 3217/200    0.061    0.000    0.238    0.001 sre_parse.py:494(_parse)
     2683    0.056    0.000    0.271    0.000 parser.py:300(parse_starttag)
79582/79574    0.056    0.000    0.064    0.000 {built-in method builtins.isinstance}
 3973/191    0.048    0.000    0.129    0.001 sre_compile.py:87(_compile)
    71019    0.047    0.000    0.047    0.000 {method 'append' of 'list' objects}
55395/50649    0.040    0.000    0.046    0.000 {built-in method builtins.len}
        2    0.040    0.020    0.464    0.232 parser.py:133(goahead)
    23183    0.033    0.000    0.049    0.000 sre_parse.py:165(__getitem__)
    24845    0.031    0.000    0.031    0.000 {method 'match' of 're.Pattern' objects}
        1    0.027    0.027    0.027    0.027 {built-in method _socket.getaddrinfo}
        1    0.026    0.026    0.026    0.026 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.025    0.025    0.025    0.025 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
3718/1426    0.025    0.000    0.057    0.000 element.py:2336(_matches)
        1    0.023    0.023    0.023    0.023 {method 'connect' of '_socket.socket' objects}
    14842    0.021    0.000    0.034    0.000 sre_parse.py:255(get)
    22055    0.020    0.000    0.020    0.000 sre_parse.py:234(__next)
     5404    0.019    0.000    0.113    0.000 element.py:2303(search)
     2536    0.017    0.000    0.094    0.000 parser.py:385(parse_endtag)
     2684    0.017    0.000    0.053    0.000 element.py:1199(__init__)
 3979/370    0.016    0.000    0.026    0.000 sre_parse.py:175(getwidth)
     2567    0.016    0.000    0.028    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
    10703    0.016    0.000    0.023    0.000 _markupbase.py:44(updatepos)
     5608    0.016    0.000    0.066    0.000 __init__.py:586(endData)
      158    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      897    0.014    0.000    0.025    0.000 sre_compile.py:292(_optimize_charset)
 1209/192    0.014    0.000    0.240    0.001 sre_parse.py:436(_parse_sub)
     2683    0.014    0.000    0.112    0.000 __init__.py:722(handle_starttag)
    19653    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
     2683    0.014    0.000    0.137    0.000 _htmlparser.py:105(handle_starttag)
     2706    0.013    0.000    0.081    0.000 element.py:2240(search_tag)
        1    0.013    0.013    0.119    0.119 dammit.py:70(_populate_class_variables)
     9497    0.013    0.000    0.019    0.000 sre_parse.py:161(__len__)
    10451    0.012    0.000    0.017    0.000 sre_parse.py:250(match)
    14041    0.012    0.000    0.012    0.000 {method 'group' of 're.Match' objects}
      821    0.012    0.000    0.012    0.000 {built-in method posix.stat}
     2673    0.011    0.000    0.024    0.000 __init__.py:620(object_was_parsed)
